solver,family,theory,cumulative_time
z3-4.12.1,Z3,Bitvectors,70226.9308710098
z3-4.12.2,Z3,Bitvectors,71710.9379003048
z3-4.12.3,Z3,Bitvectors,71036.6984336376
z3-4.12.4,Z3,Bitvectors,71050.1244735718
z3-4.12.5,Z3,Bitvectors,70371.2746391296
z3-4.12.6,Z3,Bitvectors,70080.5138368607
z3-4.13.0,Z3,Bitvectors,70253.7700326443
z3-4.5.0,Z3,Bitvectors,34140.4124097824
z3-4.6.0,Z3,Bitvectors,34843.4525675774
z3-4.7.1,Z3,Bitvectors,36839.2107999325
z3-4.8.1,Z3,Bitvectors,35297.9489250183
z3-4.8.10,Z3,Bitvectors,39773.0809144974
z3-4.8.11,Z3,Bitvectors,52295.6929171085
z3-4.8.12,Z3,Bitvectors,51904.0705382824
z3-4.8.13,Z3,Bitvectors,52769.6247799397
z3-4.8.14,Z3,Bitvectors,52907.170920372
z3-4.8.15,Z3,Bitvectors,52770.2638440132
z3-4.8.16,Z3,Bitvectors,52895.977969408
z3-4.8.17,Z3,Bitvectors,53239.6064348221
z3-4.8.3,Z3,Bitvectors,37308.2015879154
z3-4.8.4,Z3,Bitvectors,37451.3328647614
z3-4.8.5,Z3,Bitvectors,57826.2509760857
z3-4.8.6,Z3,Bitvectors,60385.5396590233
z3-4.8.7,Z3,Bitvectors,59996.1961212158
z3-4.8.8,Z3,Bitvectors,55472.6779396534
z3-4.8.9,Z3,Bitvectors,59663.2676045895
z3-4.9.0,Z3,Bitvectors,53188.0771708488
z3-4.9.1,Z3,Bitvectors,53185.8893737793
cvc4-1.5,CVC4/5,Core,4177.33655714989
cvc4-1.6,CVC4/5,Core,3900.92953634262
cvc4-1.7,CVC4/5,Core,4057.12796163559
cvc4-1.8,CVC4/5,Core,4375.56141853333
cvc5-0.0.10,CVC4/5,Core,4752.37722277641
cvc5-0.0.11,CVC4/5,Core,4749.28278470039
cvc5-0.0.12,CVC4/5,Core,4730.78299641609
cvc5-0.0.2,CVC4/5,Core,4479.56157612801
cvc5-0.0.3,CVC4/5,Core,4491.93689680099
cvc5-0.0.4,CVC4/5,Core,4539.85589981079
cvc5-0.0.5,CVC4/5,Core,4612.37377595901
cvc5-0.0.6,CVC4/5,Core,4612.21977996826
cvc5-0.0.7,CVC4/5,Core,4604.4950838089
cvc5-0.0.8,CVC4/5,Core,4769.98202729225
cvc5-1.0.0,CVC4/5,Core,4739.80049777031
cvc5-1.0.1,CVC4/5,Core,4858.69958519936
cvc5-1.0.2,CVC4/5,Core,4853.78389143944
cvc5-1.0.3,CVC4/5,Core,4852.02270340919
cvc5-1.0.4,CVC4/5,Core,4922.28375434875
cvc5-1.0.5,CVC4/5,Core,4905.38234686852
cvc5-1.0.6,CVC4/5,Core,4937.58344864845
cvc5-1.0.7,CVC4/5,Core,4963.65581464767
cvc5-1.0.8,CVC4/5,Core,4981.25441360474
cvc5-1.0.9,CVC4/5,Core,4909.90044379234
cvc5-1.1.0,CVC4/5,Core,4908.07827544212
cvc5-1.1.1,CVC4/5,Core,4929.96402025223
cvc5-1.1.2,CVC4/5,Core,5039.17282581329
z3-4.10.0,Z3,Core,15586.7458145618
z3-4.10.1,Z3,Core,15563.2436892986
z3-4.10.2,Z3,Core,15607.9817388058
z3-4.11.0,Z3,Core,15708.587854147
z3-4.11.2,Z3,Core,15734.848170042
z3-4.12.0,Z3,Core,16629.3633580208
z3-4.12.1,Z3,Core,16485.8322651386
z3-4.12.2,Z3,Core,17630.6483008862
z3-4.12.3,Z3,Core,17050.8491985798
z3-4.12.4,Z3,Core,17069.0846905708
z3-4.12.5,Z3,Core,17163.278482914
z3-4.12.6,Z3,Core,16995.159444809
z3-4.13.0,Z3,Core,17022.5670115948
z3-4.5.0,Z3,Core,7921.06915974617
z3-4.6.0,Z3,Core,8348.63782691956
z3-4.7.1,Z3,Core,9942.51576185226
z3-4.8.1,Z3,Core,10427.5001273155
z3-4.8.10,Z3,Core,9567.2030146122
z3-4.8.11,Z3,Core,15267.469139576
z3-4.8.12,Z3,Core,15161.0623755455
z3-4.8.13,Z3,Core,15321.7200698853
z3-4.8.14,Z3,Core,15305.0816354752
z3-4.8.15,Z3,Core,15475.1283018589
z3-4.8.16,Z3,Core,15584.973836422
z3-4.8.17,Z3,Core,15645.5748677254
z3-4.8.3,Z3,Core,10485.0088291168
z3-4.8.4,Z3,Core,10463.0230898857
z3-4.8.5,Z3,Core,10388.6325962543
z3-4.8.6,Z3,Core,10936.1886985302
z3-4.8.7,Z3,Core,10938.43607831
z3-4.8.8,Z3,Core,10171.4446587563
z3-4.8.9,Z3,Core,9481.75273776054
z3-4.9.0,Z3,Core,15709.1563436985
z3-4.9.1,Z3,Core,15715.8081715107
cvc4-1.5,CVC4/5,FP,0.0668065547943115
cvc4-1.6,CVC4/5,FP,0.058906078338623
cvc4-1.7,CVC4/5,FP,0.0588312149047852
cvc4-1.8,CVC4/5,FP,0.0648636817932129
cvc5-0.0.10,CVC4/5,FP,0.071192741394043
cvc5-0.0.11,CVC4/5,FP,0.0700223445892334
cvc5-0.0.12,CVC4/5,FP,0.0684099197387695
cvc5-0.0.2,CVC4/5,FP,0.0659139156341553
cvc5-0.0.3,CVC4/5,FP,0.0659499168395996
cvc5-0.0.4,CVC4/5,FP,0.0660145282745361
cvc5-0.0.5,CVC4/5,FP,0.0674400329589844
cvc5-0.0.6,CVC4/5,FP,0.0658764839172363
cvc5-0.0.7,CVC4/5,FP,0.0672988891601562
cvc5-0.0.8,CVC4/5,FP,0.0694894790649414
cvc5-1.0.0,CVC4/5,FP,0.0696744918823242
cvc5-1.0.1,CVC4/5,FP,0.0710933208465576
cvc5-1.0.2,CVC4/5,FP,0.0688672065734863
cvc5-1.0.3,CVC4/5,FP,0.0680854320526123
cvc5-1.0.4,CVC4/5,FP,0.0672004222869873
cvc5-1.0.5,CVC4/5,FP,0.0698447227478027
cvc5-1.0.6,CVC4/5,FP,0.0729403495788574
cvc5-1.0.7,CVC4/5,FP,0.0731897354125977
