solver,result,count,theory,family
z3-4.8.9,unsat,14608,Arrays,Z3
z3-4.9.0,unsat,14608,Arrays,Z3
z3-4.9.1,unsat,14608,Arrays,Z3
cvc5-0.0.10,rejected,28,Arrays,CVC4/5
cvc5-0.0.11,rejected,28,Arrays,CVC4/5
cvc5-0.0.12,rejected,28,Arrays,CVC4/5
cvc5-0.0.2,rejected,28,Arrays,CVC4/5
cvc5-0.0.3,rejected,28,Arrays,CVC4/5
cvc5-0.0.4,rejected,28,Arrays,CVC4/5
cvc5-0.0.5,rejected,28,Arrays,CVC4/5
cvc5-0.0.6,rejected,28,Arrays,CVC4/5
cvc5-0.0.7,rejected,28,Arrays,CVC4/5
cvc5-0.0.8,rejected,28,Arrays,CVC4/5
cvc5-1.0.0,rejected,28,Arrays,CVC4/5
cvc5-1.0.1,rejected,28,Arrays,CVC4/5
cvc5-1.0.2,rejected,28,Arrays,CVC4/5
cvc4-1.5,crash,3435,Arrays,CVC4/5
cvc4-1.6,crash,3435,Arrays,CVC4/5
cvc4-1.7,crash,3435,Arrays,CVC4/5
cvc4-1.8,invmodel,3434,Arrays,CVC4/5
cvc5-0.0.10,invmodel,336,Arrays,CVC4/5
cvc5-0.0.11,invmodel,336,Arrays,CVC4/5
cvc5-0.0.12,invmodel,336,Arrays,CVC4/5
cvc5-0.0.2,invmodel,336,Arrays,CVC4/5
cvc5-0.0.3,invmodel,336,Arrays,CVC4/5
cvc5-0.0.4,invmodel,336,Arrays,CVC4/5
cvc5-0.0.5,invmodel,336,Arrays,CVC4/5
cvc5-0.0.6,invmodel,336,Arrays,CVC4/5
cvc5-0.0.7,invmodel,336,Arrays,CVC4/5
cvc5-0.0.8,invmodel,336,Arrays,CVC4/5
cvc5-1.0.0,invmodel,336,Arrays,CVC4/5
cvc5-1.0.1,invmodel,336,Arrays,CVC4/5
cvc5-1.0.2,invmodel,336,Arrays,CVC4/5
cvc5-1.0.3,invmodel,8,Arrays,CVC4/5
cvc5-1.0.4,invmodel,8,Arrays,CVC4/5
cvc5-1.0.5,invmodel,8,Arrays,CVC4/5
cvc5-1.0.6,invmodel,13596,Arrays,CVC4/5
cvc5-1.0.7,invmodel,13596,Arrays,CVC4/5
cvc5-1.0.8,invmodel,13596,Arrays,CVC4/5
cvc5-1.0.9,invmodel,13596,Arrays,CVC4/5
cvc5-1.1.0,invmodel,13596,Arrays,CVC4/5
cvc5-1.1.1,invmodel,13596,Arrays,CVC4/5
cvc5-1.1.2,invmodel,13596,Arrays,CVC4/5
cvc4-1.5,sat,641699,Bitvectors,CVC4/5
cvc4-1.6,sat,610856,Bitvectors,CVC4/5
cvc4-1.7,sat,614091,Bitvectors,CVC4/5
cvc4-1.8,sat,611924,Bitvectors,CVC4/5
cvc5-0.0.10,sat,608702,Bitvectors,CVC4/5
cvc5-0.0.11,sat,608718,Bitvectors,CVC4/5
cvc5-0.0.12,sat,608600,Bitvectors,CVC4/5
cvc5-0.0.2,sat,608288,Bitvectors,CVC4/5
cvc5-0.0.3,sat,608257,Bitvectors,CVC4/5
cvc5-0.0.4,sat,608561,Bitvectors,CVC4/5
cvc5-0.0.5,sat,608742,Bitvectors,CVC4/5
cvc5-0.0.6,sat,608762,Bitvectors,CVC4/5
cvc5-0.0.7,sat,608714,Bitvectors,CVC4/5
cvc5-0.0.8,sat,608645,Bitvectors,CVC4/5
cvc5-1.0.0,sat,608628,Bitvectors,CVC4/5
cvc5-1.0.1,sat,613450,Bitvectors,CVC4/5
cvc5-1.0.2,sat,613497,Bitvectors,CVC4/5
cvc5-1.0.3,sat,616649,Bitvectors,CVC4/5
cvc5-1.0.4,sat,616966,Bitvectors,CVC4/5
cvc5-1.0.5,sat,616808,Bitvectors,CVC4/5
cvc5-1.0.6,sat,616638,Bitvectors,CVC4/5
cvc5-1.0.7,sat,616689,Bitvectors,CVC4/5
cvc5-1.0.8,sat,616840,Bitvectors,CVC4/5
cvc5-1.0.9,sat,616081,Bitvectors,CVC4/5
cvc5-1.1.0,sat,616091,Bitvectors,CVC4/5
cvc5-1.1.1,sat,618089,Bitvectors,CVC4/5
cvc5-1.1.2,sat,617859,Bitvectors,CVC4/5
z3-4.10.0,sat,602463,Bitvectors,Z3
z3-4.10.1,sat,602610,Bitvectors,Z3
z3-4.10.2,sat,602246,Bitvectors,Z3
z3-4.11.0,sat,602023,Bitvectors,Z3
z3-4.11.2,sat,602480,Bitvectors,Z3
z3-4.12.0,sat,596255,Bitvectors,Z3
z3-4.12.1,sat,596262,Bitvectors,Z3
z3-4.12.2,sat,596152,Bitvectors,Z3
z3-4.12.3,sat,596251,Bitvectors,Z3
z3-4.12.4,sat,596212,Bitvectors,Z3
z3-4.12.5,sat,596301,Bitvectors,Z3
z3-4.12.6,sat,596337,Bitvectors,Z3
z3-4.13.0,sat,596320,Bitvectors,Z3
z3-4.5.0,sat,635023,Bitvectors,Z3
z3-4.6.0,sat,637371,Bitvectors,Z3
z3-4.7.1,sat,639435,Bitvectors,Z3
z3-4.8.1,sat,637527,Bitvectors,Z3
z3-4.8.10,sat,626073,Bitvectors,Z3
z3-4.8.11,sat,606181,Bitvectors,Z3
z3-4.8.12,sat,604958,Bitvectors,Z3
z3-4.8.13,sat,603703,Bitvectors,Z3
z3-4.8.14,sat,603294,Bitvectors,Z3
z3-4.8.15,sat,603230,Bitvectors,Z3
z3-4.8.16,sat,603117,Bitvectors,Z3
z3-4.8.17,sat,602920,Bitvectors,Z3
z3-4.8.3,sat,638159,Bitvectors,Z3
z3-4.8.4,sat,637836,Bitvectors,Z3
z3-4.8.5,sat,621324,Bitvectors,Z3
z3-4.8.6,sat,617722,Bitvectors,Z3
z3-4.8.7,sat,618128,Bitvectors,Z3
z3-4.8.8,sat,621241,Bitvectors,Z3
z3-4.8.9,sat,608334,Bitvectors,Z3
z3-4.9.0,sat,602137,Bitvectors,Z3
z3-4.9.1,sat,602350,Bitvectors,Z3
cvc4-1.5,unsat,259554,Bitvectors,CVC4/5
cvc4-1.6,unsat,284909,Bitvectors,CVC4/5
cvc4-1.7,unsat,285771,Bitvectors,CVC4/5
cvc4-1.8,unsat,285513,Bitvectors,CVC4/5
cvc5-0.0.10,unsat,280455,Bitvectors,CVC4/5
cvc5-0.0.11,unsat,280506,Bitvectors,CVC4/5
cvc5-0.0.12,unsat,280360,Bitvectors,CVC4/5
cvc5-0.0.2,unsat,279724,Bitvectors,CVC4/5
cvc5-0.0.3,unsat,279670,Bitvectors,CVC4/5
cvc5-0.0.4,unsat,280247,Bitvectors,CVC4/5
cvc5-0.0.5,unsat,280566,Bitvectors,CVC4/5
cvc5-0.0.6,unsat,280628,Bitvectors,CVC4/5
cvc5-0.0.7,unsat,280542,Bitvectors,CVC4/5
cvc5-0.0.8,unsat,280456,Bitvectors,CVC4/5
cvc5-1.0.0,unsat,280317,Bitvectors,CVC4/5
cvc5-1.0.1,unsat,281326,Bitvectors,CVC4/5
cvc5-1.0.2,unsat,281359,Bitvectors,CVC4/5
cvc5-1.0.3,unsat,282995,Bitvectors,CVC4/5
cvc5-1.0.4,unsat,283243,Bitvectors,CVC4/5
cvc5-1.0.5,unsat,283086,Bitvectors,CVC4/5
cvc5-1.0.6,unsat,282939,Bitvectors,CVC4/5
cvc5-1.0.7,unsat,282983,Bitvectors,CVC4/5
cvc5-1.0.8,unsat,283080,Bitvectors,CVC4/5
cvc5-1.0.9,unsat,282948,Bitvectors,CVC4/5
cvc5-1.1.0,unsat,282926,Bitvectors,CVC4/5
cvc5-1.1.1,unsat,284420,Bitvectors,CVC4/5
cvc5-1.1.2,unsat,284088,Bitvectors,CVC4/5
z3-4.10.0,unsat,285009,Bitvectors,Z3
z3-4.10.1,unsat,285056,Bitvectors,Z3
z3-4.10.2,unsat,284958,Bitvectors,Z3
z3-4.11.0,unsat,284943,Bitvectors,Z3
z3-4.11.2,unsat,285025,Bitvectors,Z3
z3-4.12.0,unsat,283010,Bitvectors,Z3
z3-4.12.1,unsat,283014,Bitvectors,Z3
z3-4.12.2,unsat,283012,Bitvectors,Z3
z3-4.12.3,unsat,283006,Bitvectors,Z3
z3-4.12.4,unsat,283007,Bitvectors,Z3
z3-4.12.5,unsat,283006,Bitvectors,Z3
z3-4.12.6,unsat,283008,Bitvectors,Z3
z3-4.13.0,unsat,283005,Bitvectors,Z3
z3-4.5.0,unsat,284650,Bitvectors,Z3
z3-4.6.0,unsat,287604,Bitvectors,Z3
z3-4.7.1,unsat,287533,Bitvectors,Z3
z3-4.8.1,unsat,287379,Bitvectors,Z3
z3-4.8.10,unsat,286219,Bitvectors,Z3
z3-4.8.11,unsat,285307,Bitvectors,Z3
z3-4.8.12,unsat,285308,Bitvectors,Z3
z3-4.8.13,unsat,285220,Bitvectors,Z3
z3-4.8.14,unsat,285117,Bitvectors,Z3
z3-4.8.15,unsat,285152,Bitvectors,Z3
z3-4.8.16,unsat,285133,Bitvectors,Z3
z3-4.8.17,unsat,285057,Bitvectors,Z3
z3-4.8.3,unsat,287084,Bitvectors,Z3
z3-4.8.4,unsat,287058,Bitvectors,Z3
z3-4.8.5,unsat,286103,Bitvectors,Z3
z3-4.8.6,unsat,285762,Bitvectors,Z3
z3-4.8.7,unsat,285762,Bitvectors,Z3
z3-4.8.8,unsat,285848,Bitvectors,Z3
z3-4.8.9,unsat,285668,Bitvectors,Z3
z3-4.9.0,unsat,284911,Bitvectors,Z3
z3-4.9.1,unsat,284968,Bitvectors,Z3
z3-4.5.0,rejected,6272,Bitvectors,Z3
cvc4-1.5,crash,4,Bitvectors,CVC4/5
cvc4-1.6,crash,10,Bitvectors,CVC4/5
cvc4-1.5,unsoundness,29050,Bitvectors,CVC4/5
cvc5-1.0.4,invmodel,16,Bitvectors,CVC4/5
cvc5-1.0.5,invmodel,16,Bitvectors,CVC4/5
cvc4-1.5,sat,824251,Core,CVC4/5
cvc4-1.6,sat,824251,Core,CVC4/5
cvc4-1.7,sat,824251,Core,CVC4/5
cvc4-1.8,sat,824251,Core,CVC4/5
cvc5-0.0.10,sat,824251,Core,CVC4/5
cvc5-0.0.11,sat,824251,Core,CVC4/5
cvc5-0.0.12,sat,824251,Core,CVC4/5
cvc5-0.0.2,sat,824251,Core,CVC4/5
cvc5-0.0.3,sat,824251,Core,CVC4/5
cvc5-0.0.4,sat,824251,Core,CVC4/5
cvc5-0.0.5,sat,824251,Core,CVC4/5
cvc5-0.0.6,sat,824251,Core,CVC4/5
cvc5-0.0.7,sat,824251,Core,CVC4/5
cvc5-0.0.8,sat,824251,Core,CVC4/5
cvc5-1.0.0,sat,824251,Core,CVC4/5
cvc5-1.0.1,sat,824251,Core,CVC4/5
cvc5-1.0.2,sat,824251,Core,CVC4/5
cvc5-1.0.3,sat,824251,Core,CVC4/5
cvc5-1.0.4,sat,824251,Core,CVC4/5
cvc5-1.0.5,sat,824251,Core,CVC4/5
cvc5-1.0.6,sat,824251,Core,CVC4/5
cvc5-1.0.7,sat,824251,Core,CVC4/5
cvc5-1.0.8,sat,824251,Core,CVC4/5
cvc5-1.0.9,sat,824251,Core,CVC4/5
cvc5-1.1.0,sat,824251,Core,CVC4/5
cvc5-1.1.1,sat,824251,Core,CVC4/5
cvc5-1.1.2,sat,824251,Core,CVC4/5
z3-4.10.0,sat,824251,Core,Z3
z3-4.10.1,sat,824251,Core,Z3
z3-4.10.2,sat,824251,Core,Z3
z3-4.11.0,sat,824251,Core,Z3
z3-4.11.2,sat,824251,Core,Z3
z3-4.12.0,sat,824251,Core,Z3
z3-4.12.1,sat,824251,Core,Z3
z3-4.12.2,sat,824251,Core,Z3
z3-4.12.3,sat,824251,Core,Z3
z3-4.12.4,sat,824251,Core,Z3
z3-4.12.5,sat,824251,Core,Z3
z3-4.12.6,sat,824251,Core,Z3
z3-4.13.0,sat,824251,Core,Z3
z3-4.5.0,sat,824251,Core,Z3
z3-4.6.0,sat,824251,Core,Z3
z3-4.7.1,sat,824251,Core,Z3
z3-4.8.1,sat,822509,Core,Z3
z3-4.8.10,sat,824251,Core,Z3
z3-4.8.11,sat,824251,Core,Z3
z3-4.8.12,sat,824251,Core,Z3
z3-4.8.13,sat,824251,Core,Z3
z3-4.8.14,sat,824251,Core,Z3
z3-4.8.15,sat,824251,Core,Z3
z3-4.8.16,sat,824251,Core,Z3
z3-4.8.17,sat,824251,Core,Z3
z3-4.8.3,sat,822509,Core,Z3
z3-4.8.4,sat,822509,Core,Z3
z3-4.8.5,sat,822509,Core,Z3
z3-4.8.6,sat,822492,Core,Z3
z3-4.8.7,sat,822492,Core,Z3
z3-4.8.8,sat,824251,Core,Z3
z3-4.8.9,sat,824251,Core,Z3
z3-4.9.0,sat,824251,Core,Z3
z3-4.9.1,sat,824251,Core,Z3
cvc4-1.5,unsat,175749,Core,CVC4/5
cvc4-1.6,unsat,175749,Core,CVC4/5
cvc4-1.7,unsat,175749,Core,CVC4/5
cvc4-1.8,unsat,175749,Core,CVC4/5
cvc5-0.0.10,unsat,175749,Core,CVC4/5
cvc5-0.0.11,unsat,175749,Core,CVC4/5
cvc5-0.0.12,unsat,175749,Core,CVC4/5
cvc5-0.0.2,unsat,175749,Core,CVC4/5
cvc5-0.0.3,unsat,175749,Core,CVC4/5
cvc5-0.0.4,unsat,175749,Core,CVC4/5
cvc5-0.0.5,unsat,175749,Core,CVC4/5
cvc5-0.0.6,unsat,175749,Core,CVC4/5
cvc5-0.0.7,unsat,175749,Core,CVC4/5
cvc5-0.0.8,unsat,175749,Core,CVC4/5
cvc5-1.0.0,unsat,175749,Core,CVC4/5
