solver,result,count,theory,family
cvc4-1.5,sat,966897,Arrays,CVC4/5
cvc4-1.6,sat,978047,Arrays,CVC4/5
cvc4-1.7,sat,980210,Arrays,CVC4/5
cvc4-1.8,sat,981596,Arrays,CVC4/5
cvc5-0.0.10,sat,983032,Arrays,CVC4/5
cvc5-0.0.11,sat,983068,Arrays,CVC4/5
cvc5-0.0.12,sat,982996,Arrays,CVC4/5
cvc5-0.0.2,sat,983162,Arrays,CVC4/5
cvc5-0.0.3,sat,983208,Arrays,CVC4/5
cvc5-0.0.4,sat,983924,Arrays,CVC4/5
cvc5-0.0.5,sat,983837,Arrays,CVC4/5
cvc5-0.0.6,sat,983905,Arrays,CVC4/5
cvc5-0.0.7,sat,983878,Arrays,CVC4/5
cvc5-0.0.8,sat,982939,Arrays,CVC4/5
cvc5-1.0.0,sat,982809,Arrays,CVC4/5
cvc5-1.0.1,sat,982955,Arrays,CVC4/5
cvc5-1.0.2,sat,982943,Arrays,CVC4/5
cvc5-1.0.3,sat,985292,Arrays,CVC4/5
cvc5-1.0.4,sat,985302,Arrays,CVC4/5
cvc5-1.0.5,sat,985287,Arrays,CVC4/5
cvc5-1.0.6,sat,971726,Arrays,CVC4/5
cvc5-1.0.7,sat,971724,Arrays,CVC4/5
cvc5-1.0.8,sat,971742,Arrays,CVC4/5
cvc5-1.0.9,sat,971728,Arrays,CVC4/5
cvc5-1.1.0,sat,971712,Arrays,CVC4/5
cvc5-1.1.1,sat,971597,Arrays,CVC4/5
cvc5-1.1.2,sat,971591,Arrays,CVC4/5
z3-4.10.0,sat,17398,Arrays,Z3
z3-4.10.1,sat,18417,Arrays,Z3
z3-4.10.2,sat,16319,Arrays,Z3
z3-4.11.0,sat,11985,Arrays,Z3
z3-4.11.2,sat,11206,Arrays,Z3
z3-4.12.0,sat,1224,Arrays,Z3
z3-4.12.1,sat,1924,Arrays,Z3
z3-4.12.2,sat,19,Arrays,Z3
z3-4.12.3,sat,206,Arrays,Z3
z3-4.12.4,sat,220,Arrays,Z3
z3-4.12.5,sat,175,Arrays,Z3
z3-4.12.6,sat,338,Arrays,Z3
z3-4.13.0,sat,439,Arrays,Z3
z3-4.5.0,sat,983953,Arrays,Z3
z3-4.6.0,sat,984807,Arrays,Z3
z3-4.7.1,sat,982110,Arrays,Z3
z3-4.8.1,sat,980751,Arrays,Z3
z3-4.8.10,sat,983460,Arrays,Z3
z3-4.8.11,sat,60702,Arrays,Z3
z3-4.8.12,sat,83500,Arrays,Z3
z3-4.8.13,sat,45198,Arrays,Z3
z3-4.8.14,sat,43788,Arrays,Z3
z3-4.8.15,sat,27649,Arrays,Z3
z3-4.8.16,sat,18969,Arrays,Z3
z3-4.8.17,sat,16503,Arrays,Z3
z3-4.8.3,sat,980472,Arrays,Z3
z3-4.8.4,sat,980317,Arrays,Z3
z3-4.8.5,sat,982849,Arrays,Z3
z3-4.8.6,sat,979776,Arrays,Z3
z3-4.8.7,sat,979801,Arrays,Z3
z3-4.8.8,sat,982486,Arrays,Z3
z3-4.8.9,sat,983916,Arrays,Z3
z3-4.9.0,sat,11978,Arrays,Z3
z3-4.9.1,sat,11852,Arrays,Z3
cvc4-1.5,unsat,14170,Arrays,CVC4/5
cvc4-1.6,unsat,14604,Arrays,CVC4/5
cvc4-1.7,unsat,14604,Arrays,CVC4/5
cvc4-1.8,unsat,14604,Arrays,CVC4/5
cvc5-0.0.10,unsat,14450,Arrays,CVC4/5
cvc5-0.0.11,unsat,14451,Arrays,CVC4/5
cvc5-0.0.12,unsat,14451,Arrays,CVC4/5
cvc5-0.0.2,unsat,14451,Arrays,CVC4/5
cvc5-0.0.3,unsat,14452,Arrays,CVC4/5
cvc5-0.0.4,unsat,14452,Arrays,CVC4/5
cvc5-0.0.5,unsat,14452,Arrays,CVC4/5
cvc5-0.0.6,unsat,14452,Arrays,CVC4/5
cvc5-0.0.7,unsat,14452,Arrays,CVC4/5
cvc5-0.0.8,unsat,14450,Arrays,CVC4/5
cvc5-1.0.0,unsat,14451,Arrays,CVC4/5
cvc5-1.0.1,unsat,14449,Arrays,CVC4/5
cvc5-1.0.2,unsat,14451,Arrays,CVC4/5
cvc5-1.0.3,unsat,14608,Arrays,CVC4/5
cvc5-1.0.4,unsat,14608,Arrays,CVC4/5
cvc5-1.0.5,unsat,14608,Arrays,CVC4/5
cvc5-1.0.6,unsat,14608,Arrays,CVC4/5
cvc5-1.0.7,unsat,14606,Arrays,CVC4/5
cvc5-1.0.8,unsat,14608,Arrays,CVC4/5
cvc5-1.0.9,unsat,14608,Arrays,CVC4/5
cvc5-1.1.0,unsat,14608,Arrays,CVC4/5
cvc5-1.1.1,unsat,14608,Arrays,CVC4/5
cvc5-1.1.2,unsat,14608,Arrays,CVC4/5
z3-4.10.0,unsat,2833,Arrays,Z3
z3-4.10.1,unsat,2873,Arrays,Z3
z3-4.10.2,unsat,2711,Arrays,Z3
z3-4.11.0,unsat,2337,Arrays,Z3
z3-4.11.2,unsat,2248,Arrays,Z3
z3-4.12.0,unsat,350,Arrays,Z3
z3-4.12.1,unsat,546,Arrays,Z3
z3-4.12.2,unsat,4,Arrays,Z3
z3-4.12.3,unsat,59,Arrays,Z3
z3-4.12.4,unsat,63,Arrays,Z3
z3-4.12.5,unsat,40,Arrays,Z3
z3-4.12.6,unsat,91,Arrays,Z3
z3-4.13.0,unsat,110,Arrays,Z3
z3-4.5.0,unsat,14600,Arrays,Z3
z3-4.6.0,unsat,14608,Arrays,Z3
z3-4.7.1,unsat,14591,Arrays,Z3
z3-4.8.1,unsat,14592,Arrays,Z3
z3-4.8.10,unsat,14597,Arrays,Z3
z3-4.8.11,unsat,4668,Arrays,Z3
z3-4.8.12,unsat,5298,Arrays,Z3
z3-4.8.13,unsat,4302,Arrays,Z3
z3-4.8.14,unsat,4384,Arrays,Z3
z3-4.8.15,unsat,3534,Arrays,Z3
z3-4.8.16,unsat,3007,Arrays,Z3
z3-4.8.17,unsat,2812,Arrays,Z3
z3-4.8.3,unsat,14587,Arrays,Z3
z3-4.8.4,unsat,14587,Arrays,Z3
z3-4.8.5,unsat,14584,Arrays,Z3
z3-4.8.6,unsat,14566,Arrays,Z3
z3-4.8.7,unsat,14562,Arrays,Z3
z3-4.8.8,unsat,14585,Arrays,Z3
z3-4.8.9,unsat,14596,Arrays,Z3
z3-4.9.0,unsat,2378,Arrays,Z3
z3-4.9.1,unsat,2371,Arrays,Z3
cvc5-0.0.11,rejected,1,Arrays,CVC4/5
cvc5-0.0.12,rejected,2,Arrays,CVC4/5
cvc5-0.0.6,rejected,1,Arrays,CVC4/5
cvc5-0.0.8,rejected,1,Arrays,CVC4/5
cvc5-1.0.1,rejected,1,Arrays,CVC4/5
cvc4-1.5,crash,3432,Arrays,CVC4/5
cvc4-1.6,crash,3432,Arrays,CVC4/5
cvc4-1.7,crash,3425,Arrays,CVC4/5
cvc4-1.8,invmodel,3434,Arrays,CVC4/5
cvc5-0.0.10,invmodel,336,Arrays,CVC4/5
cvc5-0.0.11,invmodel,336,Arrays,CVC4/5
cvc5-0.0.12,invmodel,336,Arrays,CVC4/5
cvc5-0.0.2,invmodel,336,Arrays,CVC4/5
cvc5-0.0.3,invmodel,336,Arrays,CVC4/5
cvc5-0.0.4,invmodel,336,Arrays,CVC4/5
cvc5-0.0.5,invmodel,336,Arrays,CVC4/5
cvc5-0.0.6,invmodel,336,Arrays,CVC4/5
cvc5-0.0.7,invmodel,336,Arrays,CVC4/5
cvc5-0.0.8,invmodel,336,Arrays,CVC4/5
cvc5-1.0.0,invmodel,336,Arrays,CVC4/5
cvc5-1.0.1,invmodel,336,Arrays,CVC4/5
cvc5-1.0.2,invmodel,336,Arrays,CVC4/5
cvc5-1.0.3,invmodel,8,Arrays,CVC4/5
cvc5-1.0.4,invmodel,8,Arrays,CVC4/5
cvc5-1.0.5,invmodel,8,Arrays,CVC4/5
cvc5-1.0.6,invmodel,13596,Arrays,CVC4/5
cvc5-1.0.7,invmodel,13595,Arrays,CVC4/5
cvc5-1.0.8,invmodel,13596,Arrays,CVC4/5
cvc5-1.0.9,invmodel,13596,Arrays,CVC4/5
cvc5-1.1.0,invmodel,13596,Arrays,CVC4/5
cvc5-1.1.1,invmodel,13596,Arrays,CVC4/5
cvc5-1.1.2,invmodel,13596,Arrays,CVC4/5
cvc4-1.5,sat,555612,Bitvectors,CVC4/5
cvc4-1.6,sat,516476,Bitvectors,CVC4/5
cvc4-1.7,sat,516819,Bitvectors,CVC4/5
cvc4-1.8,sat,517202,Bitvectors,CVC4/5
cvc5-0.0.10,sat,512516,Bitvectors,CVC4/5
cvc5-0.0.11,sat,512602,Bitvectors,CVC4/5
cvc5-0.0.12,sat,512502,Bitvectors,CVC4/5
cvc5-0.0.2,sat,514095,Bitvectors,CVC4/5
cvc5-0.0.3,sat,514135,Bitvectors,CVC4/5
cvc5-0.0.4,sat,514409,Bitvectors,CVC4/5
cvc5-0.0.5,sat,514419,Bitvectors,CVC4/5
cvc5-0.0.6,sat,514432,Bitvectors,CVC4/5
cvc5-0.0.7,sat,514407,Bitvectors,CVC4/5
