solver,family,theory,type,num_triggers
z3-4.8.3,Z3,Reals,unsoundness,0
z3-4.8.3,Z3,Reals,invalid model,65066
z3-4.8.3,Z3,Reals,crash,920
z3-4.8.3,Z3,Strings,unsoundness,554
z3-4.8.3,Z3,Strings,invalid model,462
z3-4.8.3,Z3,Strings,crash,0
z3-4.8.4,Z3,Arrays,unsoundness,0
z3-4.8.4,Z3,Arrays,invalid model,0
z3-4.8.4,Z3,Arrays,crash,0
z3-4.8.4,Z3,Bitvectors,unsoundness,0
z3-4.8.4,Z3,Bitvectors,invalid model,0
z3-4.8.4,Z3,Bitvectors,crash,0
z3-4.8.4,Z3,Core,unsoundness,0
z3-4.8.4,Z3,Core,invalid model,0
z3-4.8.4,Z3,Core,crash,1742
z3-4.8.4,Z3,FP,unsoundness,0
z3-4.8.4,Z3,FP,invalid model,0
z3-4.8.4,Z3,FP,crash,0
z3-4.8.4,Z3,Ints,unsoundness,0
z3-4.8.4,Z3,Ints,invalid model,79954
z3-4.8.4,Z3,Ints,crash,800
z3-4.8.4,Z3,RealInts,unsoundness,0
z3-4.8.4,Z3,RealInts,invalid model,51492
z3-4.8.4,Z3,RealInts,crash,520
z3-4.8.4,Z3,Reals,unsoundness,0
z3-4.8.4,Z3,Reals,invalid model,65066
z3-4.8.4,Z3,Reals,crash,920
z3-4.8.4,Z3,Strings,unsoundness,516
z3-4.8.4,Z3,Strings,invalid model,88
z3-4.8.4,Z3,Strings,crash,0
z3-4.8.5,Z3,Arrays,unsoundness,0
z3-4.8.5,Z3,Arrays,invalid model,0
z3-4.8.5,Z3,Arrays,crash,0
z3-4.8.5,Z3,Bitvectors,unsoundness,0
z3-4.8.5,Z3,Bitvectors,invalid model,0
z3-4.8.5,Z3,Bitvectors,crash,0
z3-4.8.5,Z3,Core,unsoundness,0
z3-4.8.5,Z3,Core,invalid model,0
z3-4.8.5,Z3,Core,crash,1742
z3-4.8.5,Z3,FP,unsoundness,0
z3-4.8.5,Z3,FP,invalid model,0
z3-4.8.5,Z3,FP,crash,0
z3-4.8.5,Z3,Ints,unsoundness,0
z3-4.8.5,Z3,Ints,invalid model,174846
z3-4.8.5,Z3,Ints,crash,0
z3-4.8.5,Z3,RealInts,unsoundness,0
z3-4.8.5,Z3,RealInts,invalid model,82602
z3-4.8.5,Z3,RealInts,crash,0
z3-4.8.5,Z3,Reals,unsoundness,0
z3-4.8.5,Z3,Reals,invalid model,95032
z3-4.8.5,Z3,Reals,crash,0
z3-4.8.5,Z3,Strings,unsoundness,516
z3-4.8.5,Z3,Strings,invalid model,12
z3-4.8.5,Z3,Strings,crash,0
z3-4.8.6,Z3,Arrays,unsoundness,0
z3-4.8.6,Z3,Arrays,invalid model,0
z3-4.8.6,Z3,Arrays,crash,0
z3-4.8.6,Z3,Bitvectors,unsoundness,0
z3-4.8.6,Z3,Bitvectors,invalid model,0
z3-4.8.6,Z3,Bitvectors,crash,0
z3-4.8.6,Z3,Core,unsoundness,0
z3-4.8.6,Z3,Core,invalid model,0
z3-4.8.6,Z3,Core,crash,1759
z3-4.8.6,Z3,FP,unsoundness,0
z3-4.8.6,Z3,FP,invalid model,0
z3-4.8.6,Z3,FP,crash,0
z3-4.8.6,Z3,Ints,unsoundness,0
z3-4.8.6,Z3,Ints,invalid model,174848
z3-4.8.6,Z3,Ints,crash,0
z3-4.8.6,Z3,RealInts,unsoundness,0
z3-4.8.6,Z3,RealInts,invalid model,79540
z3-4.8.6,Z3,RealInts,crash,0
z3-4.8.6,Z3,Reals,unsoundness,0
z3-4.8.6,Z3,Reals,invalid model,76914
z3-4.8.6,Z3,Reals,crash,0
z3-4.8.6,Z3,Strings,unsoundness,785
z3-4.8.6,Z3,Strings,invalid model,75338
z3-4.8.6,Z3,Strings,crash,0
z3-4.8.7,Z3,Arrays,unsoundness,0
z3-4.8.7,Z3,Arrays,invalid model,0
z3-4.8.7,Z3,Arrays,crash,0
z3-4.8.7,Z3,Bitvectors,unsoundness,0
z3-4.8.7,Z3,Bitvectors,invalid model,0
z3-4.8.7,Z3,Bitvectors,crash,0
z3-4.8.7,Z3,Core,unsoundness,0
z3-4.8.7,Z3,Core,invalid model,0
z3-4.8.7,Z3,Core,crash,1759
z3-4.8.7,Z3,FP,unsoundness,0
z3-4.8.7,Z3,FP,invalid model,0
z3-4.8.7,Z3,FP,crash,0
z3-4.8.7,Z3,Ints,unsoundness,0
z3-4.8.7,Z3,Ints,invalid model,79410
z3-4.8.7,Z3,Ints,crash,0
z3-4.8.7,Z3,RealInts,unsoundness,0
z3-4.8.7,Z3,RealInts,invalid model,15854
z3-4.8.7,Z3,RealInts,crash,0
z3-4.8.7,Z3,Reals,unsoundness,0
z3-4.8.7,Z3,Reals,invalid model,17310
z3-4.8.7,Z3,Reals,crash,0
z3-4.8.7,Z3,Strings,unsoundness,785
z3-4.8.7,Z3,Strings,invalid model,75280
z3-4.8.7,Z3,Strings,crash,0
z3-4.8.8,Z3,Arrays,unsoundness,0
z3-4.8.8,Z3,Arrays,invalid model,0
z3-4.8.8,Z3,Arrays,crash,0
z3-4.8.8,Z3,Bitvectors,unsoundness,0
z3-4.8.8,Z3,Bitvectors,invalid model,0
z3-4.8.8,Z3,Bitvectors,crash,0
z3-4.8.8,Z3,Core,unsoundness,0
z3-4.8.8,Z3,Core,invalid model,0
z3-4.8.8,Z3,Core,crash,0
