solver,family,theory,cumulative_time
cvc4-1.5,CVC4/5,Arrays,6021.49715518951
cvc4-1.6,CVC4/5,Arrays,5440.94502782822
cvc4-1.7,CVC4/5,Arrays,5303.52229785919
cvc4-1.8,CVC4/5,Arrays,5551.69084429741
cvc5-0.0.10,CVC4/5,Arrays,7055.29133033752
cvc5-0.0.11,CVC4/5,Arrays,7048.41707015038
cvc5-0.0.12,CVC4/5,Arrays,7043.00702881813
cvc5-0.0.2,CVC4/5,Arrays,6808.40502738953
cvc5-0.0.3,CVC4/5,Arrays,6813.9395506382
cvc5-0.0.4,CVC4/5,Arrays,6739.91962623596
cvc5-0.0.5,CVC4/5,Arrays,6787.04568099976
cvc5-0.0.6,CVC4/5,Arrays,6784.48298621178
cvc5-0.0.7,CVC4/5,Arrays,6791.04993414879
cvc5-0.0.8,CVC4/5,Arrays,7070.35964941978
cvc5-1.0.0,CVC4/5,Arrays,7137.6034450531
cvc5-1.0.1,CVC4/5,Arrays,7164.2342209816
cvc5-1.0.2,CVC4/5,Arrays,7161.01064825058
cvc5-1.0.3,CVC4/5,Arrays,5986.77962589264
cvc5-1.0.4,CVC4/5,Arrays,6044.2559363842
cvc5-1.0.5,CVC4/5,Arrays,6017.77330589294
cvc5-1.0.6,CVC4/5,Arrays,5764.04000782967
cvc5-1.0.7,CVC4/5,Arrays,5792.94185209274
cvc5-1.0.8,CVC4/5,Arrays,5813.61948132515
cvc5-1.0.9,CVC4/5,Arrays,5769.72744178772
cvc5-1.1.0,CVC4/5,Arrays,5759.57154154778
cvc5-1.1.1,CVC4/5,Arrays,5785.37725090981
cvc5-1.1.2,CVC4/5,Arrays,5868.70020604134
z3-4.10.0,Z3,Arrays,17395.461186409
z3-4.10.1,Z3,Arrays,17370.4907774925
z3-4.10.2,Z3,Arrays,17411.2779755592
z3-4.11.0,Z3,Arrays,17599.1960399151
z3-4.11.2,Z3,Arrays,17548.98549366
z3-4.12.0,Z3,Arrays,18531.7788522243
z3-4.12.1,Z3,Arrays,18394.6105926037
z3-4.12.2,Z3,Arrays,19537.8263137341
z3-4.12.3,Z3,Arrays,18934.2305495739
z3-4.12.4,Z3,Arrays,18943.3914031982
z3-4.12.5,Z3,Arrays,19060.8246018887
z3-4.12.6,Z3,Arrays,18921.0173614025
z3-4.13.0,Z3,Arrays,18924.6140720844
z3-4.5.0,Z3,Arrays,9647.73130393028
z3-4.6.0,Z3,Arrays,9881.21620583534
z3-4.7.1,Z3,Arrays,11533.6555933952
z3-4.8.1,Z3,Arrays,11861.0097870827
z3-4.8.10,Z3,Arrays,11084.8929758072
z3-4.8.11,Z3,Arrays,16915.296703577
z3-4.8.12,Z3,Arrays,16819.9916210175
z3-4.8.13,Z3,Arrays,17047.5978775024
z3-4.8.14,Z3,Arrays,17057.3777525425
z3-4.8.15,Z3,Arrays,17222.1441874504
z3-4.8.16,Z3,Arrays,17354.8737635612
z3-4.8.17,Z3,Arrays,17394.6340544224
z3-4.8.3,Z3,Arrays,11917.8402125835
z3-4.8.4,Z3,Arrays,11928.5873053074
z3-4.8.5,Z3,Arrays,11557.6025223732
z3-4.8.6,Z3,Arrays,12171.0634219646
z3-4.8.7,Z3,Arrays,12151.3606636524
z3-4.8.8,Z3,Arrays,11510.6892380714
z3-4.8.9,Z3,Arrays,10958.0931105614
z3-4.9.0,Z3,Arrays,17537.1459493637
z3-4.9.1,Z3,Arrays,17540.1625368595
cvc4-1.5,CVC4/5,Bitvectors,27786.5561902523
cvc4-1.6,CVC4/5,Bitvectors,52436.6426796913
cvc4-1.7,CVC4/5,Bitvectors,32259.1053128242
cvc4-1.8,CVC4/5,Bitvectors,34367.7880718708
cvc5-0.0.10,CVC4/5,Bitvectors,55615.6987888813
cvc5-0.0.11,CVC4/5,Bitvectors,55482.8672361374
cvc5-0.0.12,CVC4/5,Bitvectors,55627.7018890381
cvc5-0.0.2,CVC4/5,Bitvectors,55128.1703622341
cvc5-0.0.3,CVC4/5,Bitvectors,55181.4818894863
cvc5-0.0.4,CVC4/5,Bitvectors,55225.3061304092
cvc5-0.0.5,CVC4/5,Bitvectors,54937.3865160942
cvc5-0.0.6,CVC4/5,Bitvectors,54902.8741602898
cvc5-0.0.7,CVC4/5,Bitvectors,55076.2997748852
cvc5-0.0.8,CVC4/5,Bitvectors,55606.1004071236
cvc5-1.0.0,CVC4/5,Bitvectors,55634.5674538612
cvc5-1.0.1,CVC4/5,Bitvectors,52573.7805953026
cvc5-1.0.2,CVC4/5,Bitvectors,52601.8021979332
cvc5-1.0.3,CVC4/5,Bitvectors,39005.1241555214
cvc5-1.0.4,CVC4/5,Bitvectors,38805.6029810905
cvc5-1.0.5,CVC4/5,Bitvectors,38894.9678776264
cvc5-1.0.6,CVC4/5,Bitvectors,39044.4148786068
cvc5-1.0.7,CVC4/5,Bitvectors,38973.9747407436
cvc5-1.0.8,CVC4/5,Bitvectors,38976.4156002998
cvc5-1.0.9,CVC4/5,Bitvectors,40193.8103325367
cvc5-1.1.0,CVC4/5,Bitvectors,40125.1626210213
cvc5-1.1.1,CVC4/5,Bitvectors,39871.8856036663
cvc5-1.1.2,CVC4/5,Bitvectors,40199.3223679066
z3-4.10.0,Z3,Bitvectors,53597.6058561802
z3-4.10.1,Z3,Bitvectors,53429.1454787254
z3-4.10.2,Z3,Bitvectors,53399.0975296497
z3-4.11.0,Z3,Bitvectors,53677.2436213493
z3-4.11.2,Z3,Bitvectors,53695.7398052216
z3-4.12.0,Z3,Bitvectors,71036.0461435318
z3-4.12.1,Z3,Bitvectors,70857.2743127346
z3-4.12.2,Z3,Bitvectors,72324.9714381695
z3-4.12.3,Z3,Bitvectors,71678.1654036045
z3-4.12.4,Z3,Bitvectors,71664.4393646717
z3-4.12.5,Z3,Bitvectors,70988.9235856533
z3-4.12.6,Z3,Bitvectors,70718.9819195271
z3-4.13.0,Z3,Bitvectors,70867.8526918888
z3-4.5.0,Z3,Bitvectors,34098.7775759697
z3-4.6.0,Z3,Bitvectors,34791.5763683319
z3-4.7.1,Z3,Bitvectors,36772.7115826607
z3-4.8.1,Z3,Bitvectors,35297.3056168556
z3-4.8.10,Z3,Bitvectors,39764.6468508244
z3-4.8.11,Z3,Bitvectors,52650.2977006435
z3-4.8.12,Z3,Bitvectors,52239.4988577366
z3-4.8.13,Z3,Bitvectors,53073.989677906
z3-4.8.14,Z3,Bitvectors,53224.2907118797
z3-4.8.15,Z3,Bitvectors,53094.906359911
z3-4.8.16,Z3,Bitvectors,53234.0441644192
z3-4.8.17,Z3,Bitvectors,53557.8067541122
z3-4.8.3,Z3,Bitvectors,37312.9108026028
z3-4.8.4,Z3,Bitvectors,37440.749825716
z3-4.8.5,Z3,Bitvectors,57794.2585244179
z3-4.8.6,Z3,Bitvectors,60408.1368663311
z3-4.8.7,Z3,Bitvectors,60006.6895701885
z3-4.8.8,Z3,Bitvectors,55480.5920286179
z3-4.8.9,Z3,Bitvectors,59652.0757772923
z3-4.9.0,Z3,Bitvectors,53506.5064623356
z3-4.9.1,Z3,Bitvectors,53496.6925039291
cvc4-1.5,CVC4/5,Core,3862.56502485275
cvc4-1.6,CVC4/5,Core,3606.01017069817
cvc4-1.7,CVC4/5,Core,3746.63877439499
cvc4-1.8,CVC4/5,Core,4043.32135462761
cvc5-0.0.10,CVC4/5,Core,4398.11995601654
cvc5-0.0.11,CVC4/5,Core,4395.30580544472
cvc5-0.0.12,CVC4/5,Core,4381.86999845505
cvc5-0.0.2,CVC4/5,Core,4137.64210581779
cvc5-0.0.3,CVC4/5,Core,4146.71590518951
cvc5-0.0.4,CVC4/5,Core,4198.77483296394
cvc5-0.0.5,CVC4/5,Core,4263.1466884613
cvc5-0.0.6,CVC4/5,Core,4271.76649188995
cvc5-0.0.7,CVC4/5,Core,4263.06599807739
cvc5-0.0.8,CVC4/5,Core,4413.43841409683
cvc5-1.0.0,CVC4/5,Core,4401.2842707634
cvc5-1.0.1,CVC4/5,Core,4508.61708545685
cvc5-1.0.2,CVC4/5,Core,4498.52722811699
cvc5-1.0.3,CVC4/5,Core,4486.3091404438
cvc5-1.0.4,CVC4/5,Core,4561.83456373215
cvc5-1.0.5,CVC4/5,Core,4556.08420014381
cvc5-1.0.6,CVC4/5,Core,4582.72657108307
cvc5-1.0.7,CVC4/5,Core,4603.58422684669
cvc5-1.0.8,CVC4/5,Core,4615.42094635963
cvc5-1.0.9,CVC4/5,Core,4545.31062722206
cvc5-1.1.0,CVC4/5,Core,4579.43805575371
cvc5-1.1.1,CVC4/5,Core,4580.78252053261
cvc5-1.1.2,CVC4/5,Core,4676.60402679443
z3-4.10.0,Z3,Core,14803.8339622021
z3-4.10.1,Z3,Core,14784.401674509
z3-4.10.2,Z3,Core,14832.2663636208
z3-4.11.0,Z3,Core,14935.5811443329
z3-4.11.2,Z3,Core,14968.5784919262
z3-4.12.0,Z3,Core,15809.8311727047
z3-4.12.1,Z3,Core,15675.0053808689
z3-4.12.2,Z3,Core,16753.7893772125
z3-4.12.3,Z3,Core,16206.3451521397
z3-4.12.4,Z3,Core,16222.9387714863
z3-4.12.5,Z3,Core,16316.8592755795
z3-4.12.6,Z3,Core,16162.0658221245
z3-4.13.0,Z3,Core,16232.3724973202
z3-4.5.0,Z3,Core,7420.02918934822
z3-4.6.0,Z3,Core,7836.82293653488
z3-4.7.1,Z3,Core,9380.62198734283
z3-4.8.1,Z3,Core,9836.47195315361
z3-4.8.10,Z3,Core,9015.98966932297
z3-4.8.11,Z3,Core,14540.4744608402
z3-4.8.12,Z3,Core,14382.8417034149
z3-4.8.13,Z3,Core,14542.4404580593
z3-4.8.14,Z3,Core,14527.8386271
z3-4.8.15,Z3,Core,14690.44323349
z3-4.8.16,Z3,Core,14796.5874421597
z3-4.8.17,Z3,Core,14859.897346735
z3-4.8.3,Z3,Core,9895.30612444878
z3-4.8.4,Z3,Core,9878.71091103554
z3-4.8.5,Z3,Core,9800.37232136726
z3-4.8.6,Z3,Core,10353.9562819004
z3-4.8.7,Z3,Core,10342.0036966801
z3-4.8.8,Z3,Core,9572.21643519402
z3-4.8.9,Z3,Core,8912.74536204338
z3-4.9.0,Z3,Core,14921.5498712063
z3-4.9.1,Z3,Core,14933.2748763561
cvc4-1.5,CVC4/5,FP,0.0658862590789795
cvc4-1.6,CVC4/5,FP,0.0578231811523437
