solver,result,count,theory,family
cvc4-1.5,sat,966844,Arrays,CVC4/5
cvc4-1.6,sat,978011,Arrays,CVC4/5
cvc4-1.7,sat,980204,Arrays,CVC4/5
cvc4-1.8,sat,981602,Arrays,CVC4/5
cvc5-0.0.10,sat,983100,Arrays,CVC4/5
cvc5-0.0.11,sat,983090,Arrays,CVC4/5
cvc5-0.0.12,sat,983033,Arrays,CVC4/5
cvc5-0.0.2,sat,983197,Arrays,CVC4/5
cvc5-0.0.3,sat,983262,Arrays,CVC4/5
cvc5-0.0.4,sat,983933,Arrays,CVC4/5
cvc5-0.0.5,sat,983888,Arrays,CVC4/5
cvc5-0.0.6,sat,983918,Arrays,CVC4/5
cvc5-0.0.7,sat,983896,Arrays,CVC4/5
cvc5-0.0.8,sat,982952,Arrays,CVC4/5
cvc5-1.0.0,sat,982881,Arrays,CVC4/5
cvc5-1.0.1,sat,983020,Arrays,CVC4/5
cvc5-1.0.2,sat,983019,Arrays,CVC4/5
cvc5-1.0.3,sat,985314,Arrays,CVC4/5
cvc5-1.0.4,sat,985310,Arrays,CVC4/5
cvc5-1.0.5,sat,985299,Arrays,CVC4/5
cvc5-1.0.6,sat,971733,Arrays,CVC4/5
cvc5-1.0.7,sat,971739,Arrays,CVC4/5
cvc5-1.0.8,sat,971749,Arrays,CVC4/5
cvc5-1.0.9,sat,971743,Arrays,CVC4/5
cvc5-1.1.0,sat,971738,Arrays,CVC4/5
cvc5-1.1.1,sat,971622,Arrays,CVC4/5
cvc5-1.1.2,sat,971592,Arrays,CVC4/5
z3-4.10.0,sat,13330,Arrays,Z3
z3-4.10.1,sat,14157,Arrays,Z3
z3-4.10.2,sat,12454,Arrays,Z3
z3-4.11.0,sat,9325,Arrays,Z3
z3-4.11.2,sat,8689,Arrays,Z3
z3-4.12.0,sat,890,Arrays,Z3
z3-4.12.1,sat,1423,Arrays,Z3
z3-4.12.2,sat,13,Arrays,Z3
z3-4.12.3,sat,123,Arrays,Z3
z3-4.12.4,sat,140,Arrays,Z3
