solver,result,count,theory,family
cvc4-1.5,sat,981489,Arrays,CVC4/5
cvc4-1.6,sat,981959,Arrays,CVC4/5
cvc4-1.7,sat,981961,Arrays,CVC4/5
cvc4-1.8,sat,981960,Arrays,CVC4/5
cvc5-0.0.10,sat,985159,Arrays,CVC4/5
cvc5-0.0.11,sat,985157,Arrays,CVC4/5
cvc5-0.0.12,sat,985158,Arrays,CVC4/5
cvc5-0.0.2,sat,985159,Arrays,CVC4/5
cvc5-0.0.3,sat,985158,Arrays,CVC4/5
cvc5-0.0.4,sat,985159,Arrays,CVC4/5
cvc5-0.0.5,sat,985159,Arrays,CVC4/5
cvc5-0.0.6,sat,985160,Arrays,CVC4/5
cvc5-0.0.7,sat,985158,Arrays,CVC4/5
cvc5-0.0.8,sat,985159,Arrays,CVC4/5
cvc5-1.0.0,sat,985158,Arrays,CVC4/5
cvc5-1.0.1,sat,985158,Arrays,CVC4/5
cvc5-1.0.2,sat,985160,Arrays,CVC4/5
cvc5-1.0.3,sat,985384,Arrays,CVC4/5
cvc5-1.0.4,sat,985382,Arrays,CVC4/5
cvc5-1.0.5,sat,985382,Arrays,CVC4/5
cvc5-1.0.6,sat,971787,Arrays,CVC4/5
cvc5-1.0.7,sat,971786,Arrays,CVC4/5
cvc5-1.0.8,sat,971785,Arrays,CVC4/5
cvc5-1.0.9,sat,971784,Arrays,CVC4/5
cvc5-1.1.0,sat,971785,Arrays,CVC4/5
cvc5-1.1.1,sat,971784,Arrays,CVC4/5
cvc5-1.1.2,sat,971781,Arrays,CVC4/5
z3-4.10.0,sat,985388,Arrays,Z3
z3-4.10.1,sat,985385,Arrays,Z3
z3-4.10.2,sat,985387,Arrays,Z3
z3-4.11.0,sat,985382,Arrays,Z3
z3-4.11.2,sat,985388,Arrays,Z3
z3-4.12.0,sat,985386,Arrays,Z3
z3-4.12.1,sat,985385,Arrays,Z3
z3-4.12.2,sat,985390,Arrays,Z3
z3-4.12.3,sat,985387,Arrays,Z3
z3-4.12.4,sat,985390,Arrays,Z3
z3-4.12.5,sat,985384,Arrays,Z3
z3-4.12.6,sat,985383,Arrays,Z3
z3-4.13.0,sat,985392,Arrays,Z3
z3-4.5.0,sat,985375,Arrays,Z3
z3-4.6.0,sat,985389,Arrays,Z3
z3-4.7.1,sat,985389,Arrays,Z3
z3-4.8.1,sat,985391,Arrays,Z3
z3-4.8.10,sat,985389,Arrays,Z3
z3-4.8.11,sat,985387,Arrays,Z3
z3-4.8.12,sat,985382,Arrays,Z3
z3-4.8.13,sat,985386,Arrays,Z3
z3-4.8.14,sat,985392,Arrays,Z3
z3-4.8.15,sat,985385,Arrays,Z3
z3-4.8.16,sat,985386,Arrays,Z3
z3-4.8.17,sat,985386,Arrays,Z3
z3-4.8.3,sat,985389,Arrays,Z3
z3-4.8.4,sat,985391,Arrays,Z3
z3-4.8.5,sat,985389,Arrays,Z3
z3-4.8.6,sat,985385,Arrays,Z3
z3-4.8.7,sat,985389,Arrays,Z3
z3-4.8.8,sat,985389,Arrays,Z3
z3-4.8.9,sat,985387,Arrays,Z3
z3-4.9.0,sat,985387,Arrays,Z3
z3-4.9.1,sat,985387,Arrays,Z3
cvc4-1.5,unsat,14604,Arrays,CVC4/5
cvc4-1.6,unsat,14604,Arrays,CVC4/5
cvc4-1.7,unsat,14604,Arrays,CVC4/5
cvc4-1.8,unsat,14604,Arrays,CVC4/5
cvc5-0.0.10,unsat,14458,Arrays,CVC4/5
cvc5-0.0.11,unsat,14458,Arrays,CVC4/5
cvc5-0.0.12,unsat,14458,Arrays,CVC4/5
cvc5-0.0.2,unsat,14458,Arrays,CVC4/5
cvc5-0.0.3,unsat,14458,Arrays,CVC4/5
cvc5-0.0.4,unsat,14458,Arrays,CVC4/5
cvc5-0.0.5,unsat,14457,Arrays,CVC4/5
cvc5-0.0.6,unsat,14458,Arrays,CVC4/5
cvc5-0.0.7,unsat,14458,Arrays,CVC4/5
cvc5-0.0.8,unsat,14458,Arrays,CVC4/5
cvc5-1.0.0,unsat,14458,Arrays,CVC4/5
cvc5-1.0.1,unsat,14458,Arrays,CVC4/5
cvc5-1.0.2,unsat,14458,Arrays,CVC4/5
cvc5-1.0.3,unsat,14608,Arrays,CVC4/5
cvc5-1.0.4,unsat,14607,Arrays,CVC4/5
cvc5-1.0.5,unsat,14608,Arrays,CVC4/5
cvc5-1.0.6,unsat,14608,Arrays,CVC4/5
cvc5-1.0.7,unsat,14608,Arrays,CVC4/5
cvc5-1.0.8,unsat,14608,Arrays,CVC4/5
cvc5-1.0.9,unsat,14608,Arrays,CVC4/5
cvc5-1.1.0,unsat,14608,Arrays,CVC4/5
cvc5-1.1.1,unsat,14608,Arrays,CVC4/5
cvc5-1.1.2,unsat,14608,Arrays,CVC4/5
z3-4.10.0,unsat,14608,Arrays,Z3
z3-4.10.1,unsat,14608,Arrays,Z3
z3-4.10.2,unsat,14608,Arrays,Z3
z3-4.11.0,unsat,14608,Arrays,Z3
z3-4.11.2,unsat,14606,Arrays,Z3
z3-4.12.0,unsat,14608,Arrays,Z3
z3-4.12.1,unsat,14608,Arrays,Z3
z3-4.12.2,unsat,14608,Arrays,Z3
z3-4.12.3,unsat,14608,Arrays,Z3
z3-4.12.4,unsat,14607,Arrays,Z3
z3-4.12.5,unsat,14608,Arrays,Z3
z3-4.12.6,unsat,14608,Arrays,Z3
z3-4.13.0,unsat,14608,Arrays,Z3
z3-4.5.0,unsat,14608,Arrays,Z3
z3-4.6.0,unsat,14608,Arrays,Z3
z3-4.7.1,unsat,14608,Arrays,Z3
z3-4.8.1,unsat,14608,Arrays,Z3
z3-4.8.10,unsat,14608,Arrays,Z3
z3-4.8.11,unsat,14608,Arrays,Z3
z3-4.8.12,unsat,14607,Arrays,Z3
z3-4.8.13,unsat,14608,Arrays,Z3
z3-4.8.14,unsat,14608,Arrays,Z3
z3-4.8.15,unsat,14608,Arrays,Z3
z3-4.8.16,unsat,14608,Arrays,Z3
z3-4.8.17,unsat,14608,Arrays,Z3
z3-4.8.3,unsat,14608,Arrays,Z3
z3-4.8.4,unsat,14608,Arrays,Z3
z3-4.8.5,unsat,14608,Arrays,Z3
z3-4.8.6,unsat,14608,Arrays,Z3
z3-4.8.7,unsat,14608,Arrays,Z3
z3-4.8.8,unsat,14608,Arrays,Z3
z3-4.8.9,unsat,14608,Arrays,Z3
z3-4.9.0,unsat,14607,Arrays,Z3
z3-4.9.1,unsat,14608,Arrays,Z3
cvc5-0.0.10,rejected,28,Arrays,CVC4/5
cvc5-0.0.11,rejected,28,Arrays,CVC4/5
cvc5-0.0.12,rejected,28,Arrays,CVC4/5
cvc5-0.0.2,rejected,28,Arrays,CVC4/5
cvc5-0.0.3,rejected,28,Arrays,CVC4/5
cvc5-0.0.4,rejected,28,Arrays,CVC4/5
cvc5-0.0.5,rejected,28,Arrays,CVC4/5
cvc5-0.0.6,rejected,28,Arrays,CVC4/5
cvc5-0.0.7,rejected,28,Arrays,CVC4/5
cvc5-0.0.8,rejected,28,Arrays,CVC4/5
cvc5-1.0.0,rejected,28,Arrays,CVC4/5
cvc5-1.0.1,rejected,28,Arrays,CVC4/5
cvc5-1.0.2,rejected,28,Arrays,CVC4/5
cvc4-1.5,crash,3435,Arrays,CVC4/5
cvc4-1.6,crash,3435,Arrays,CVC4/5
cvc4-1.7,crash,3435,Arrays,CVC4/5
cvc4-1.8,invmodel,3434,Arrays,CVC4/5
cvc5-0.0.10,invmodel,336,Arrays,CVC4/5
cvc5-0.0.11,invmodel,336,Arrays,CVC4/5
cvc5-0.0.12,invmodel,336,Arrays,CVC4/5
cvc5-0.0.2,invmodel,336,Arrays,CVC4/5
cvc5-0.0.3,invmodel,336,Arrays,CVC4/5
cvc5-0.0.4,invmodel,336,Arrays,CVC4/5
cvc5-0.0.5,invmodel,336,Arrays,CVC4/5
cvc5-0.0.6,invmodel,336,Arrays,CVC4/5
cvc5-0.0.7,invmodel,336,Arrays,CVC4/5
cvc5-0.0.8,invmodel,336,Arrays,CVC4/5
cvc5-1.0.0,invmodel,336,Arrays,CVC4/5
cvc5-1.0.1,invmodel,336,Arrays,CVC4/5
cvc5-1.0.2,invmodel,336,Arrays,CVC4/5
cvc5-1.0.3,invmodel,8,Arrays,CVC4/5
cvc5-1.0.4,invmodel,8,Arrays,CVC4/5
cvc5-1.0.5,invmodel,8,Arrays,CVC4/5
cvc5-1.0.6,invmodel,13596,Arrays,CVC4/5
cvc5-1.0.7,invmodel,13596,Arrays,CVC4/5
cvc5-1.0.8,invmodel,13596,Arrays,CVC4/5
cvc5-1.0.9,invmodel,13596,Arrays,CVC4/5
cvc5-1.1.0,invmodel,13596,Arrays,CVC4/5
cvc5-1.1.1,invmodel,13596,Arrays,CVC4/5
cvc5-1.1.2,invmodel,13596,Arrays,CVC4/5
cvc4-1.5,sat,587465,Bitvectors,CVC4/5
cvc4-1.6,sat,544663,Bitvectors,CVC4/5
cvc4-1.7,sat,570528,Bitvectors,CVC4/5
cvc4-1.8,sat,571587,Bitvectors,CVC4/5
cvc5-0.0.10,sat,551616,Bitvectors,CVC4/5
cvc5-0.0.11,sat,552150,Bitvectors,CVC4/5
cvc5-0.0.12,sat,551346,Bitvectors,CVC4/5
cvc5-0.0.2,sat,552354,Bitvectors,CVC4/5
cvc5-0.0.3,sat,553045,Bitvectors,CVC4/5
cvc5-0.0.4,sat,552614,Bitvectors,CVC4/5
cvc5-0.0.5,sat,553383,Bitvectors,CVC4/5
cvc5-0.0.6,sat,553709,Bitvectors,CVC4/5
cvc5-0.0.7,sat,553486,Bitvectors,CVC4/5
cvc5-0.0.8,sat,551568,Bitvectors,CVC4/5
cvc5-1.0.0,sat,550777,Bitvectors,CVC4/5
cvc5-1.0.1,sat,560168,Bitvectors,CVC4/5
cvc5-1.0.2,sat,560361,Bitvectors,CVC4/5
cvc5-1.0.3,sat,575453,Bitvectors,CVC4/5
cvc5-1.0.4,sat,575563,Bitvectors,CVC4/5
cvc5-1.0.5,sat,575512,Bitvectors,CVC4/5
cvc5-1.0.6,sat,575436,Bitvectors,CVC4/5
cvc5-1.0.7,sat,575478,Bitvectors,CVC4/5
cvc5-1.0.8,sat,575508,Bitvectors,CVC4/5
cvc5-1.0.9,sat,574736,Bitvectors,CVC4/5
cvc5-1.1.0,sat,574757,Bitvectors,CVC4/5
cvc5-1.1.1,sat,574807,Bitvectors,CVC4/5
cvc5-1.1.2,sat,574735,Bitvectors,CVC4/5
z3-4.10.0,sat,585974,Bitvectors,Z3
z3-4.10.1,sat,585969,Bitvectors,Z3
z3-4.10.2,sat,585975,Bitvectors,Z3
z3-4.11.0,sat,585961,Bitvectors,Z3
z3-4.11.2,sat,585968,Bitvectors,Z3
z3-4.12.0,sat,587201,Bitvectors,Z3
z3-4.12.1,sat,587206,Bitvectors,Z3
z3-4.12.2,sat,587180,Bitvectors,Z3
z3-4.12.3,sat,587109,Bitvectors,Z3
z3-4.12.4,sat,587112,Bitvectors,Z3
z3-4.12.5,sat,587112,Bitvectors,Z3
z3-4.12.6,sat,587110,Bitvectors,Z3
z3-4.13.0,sat,587109,Bitvectors,Z3
z3-4.5.0,sat,606556,Bitvectors,Z3
z3-4.6.0,sat,610037,Bitvectors,Z3
z3-4.7.1,sat,609825,Bitvectors,Z3
z3-4.8.1,sat,605546,Bitvectors,Z3
z3-4.8.10,sat,588367,Bitvectors,Z3
z3-4.8.11,sat,586061,Bitvectors,Z3
z3-4.8.12,sat,586020,Bitvectors,Z3
z3-4.8.13,sat,585983,Bitvectors,Z3
z3-4.8.14,sat,585987,Bitvectors,Z3
z3-4.8.15,sat,585986,Bitvectors,Z3
z3-4.8.16,sat,585986,Bitvectors,Z3
z3-4.8.17,sat,585988,Bitvectors,Z3
z3-4.8.3,sat,605927,Bitvectors,Z3
z3-4.8.4,sat,604536,Bitvectors,Z3
z3-4.8.5,sat,596413,Bitvectors,Z3
z3-4.8.6,sat,585198,Bitvectors,Z3
z3-4.8.7,sat,585318,Bitvectors,Z3
z3-4.8.8,sat,587672,Bitvectors,Z3
z3-4.8.9,sat,587613,Bitvectors,Z3
z3-4.9.0,sat,585968,Bitvectors,Z3
z3-4.9.1,sat,585969,Bitvectors,Z3
cvc4-1.5,unsat,255834,Bitvectors,CVC4/5
cvc4-1.6,unsat,280023,Bitvectors,CVC4/5
cvc4-1.7,unsat,280277,Bitvectors,CVC4/5
cvc4-1.8,unsat,280369,Bitvectors,CVC4/5
cvc5-0.0.10,unsat,276319,Bitvectors,CVC4/5
cvc5-0.0.11,unsat,276321,Bitvectors,CVC4/5
cvc5-0.0.12,unsat,276325,Bitvectors,CVC4/5
cvc5-0.0.2,unsat,276343,Bitvectors,CVC4/5
cvc5-0.0.3,unsat,276342,Bitvectors,CVC4/5
cvc5-0.0.4,unsat,276350,Bitvectors,CVC4/5
cvc5-0.0.5,unsat,276350,Bitvectors,CVC4/5
cvc5-0.0.6,unsat,276353,Bitvectors,CVC4/5
cvc5-0.0.7,unsat,276353,Bitvectors,CVC4/5
cvc5-0.0.8,unsat,276318,Bitvectors,CVC4/5
cvc5-1.0.0,unsat,276325,Bitvectors,CVC4/5
cvc5-1.0.1,unsat,277945,Bitvectors,CVC4/5
cvc5-1.0.2,unsat,277946,Bitvectors,CVC4/5
cvc5-1.0.3,unsat,279559,Bitvectors,CVC4/5
cvc5-1.0.4,unsat,279656,Bitvectors,CVC4/5
cvc5-1.0.5,unsat,279647,Bitvectors,CVC4/5
cvc5-1.0.6,unsat,279646,Bitvectors,CVC4/5
cvc5-1.0.7,unsat,279651,Bitvectors,CVC4/5
cvc5-1.0.8,unsat,279651,Bitvectors,CVC4/5
cvc5-1.0.9,unsat,279639,Bitvectors,CVC4/5
cvc5-1.1.0,unsat,279641,Bitvectors,CVC4/5
cvc5-1.1.1,unsat,279639,Bitvectors,CVC4/5
cvc5-1.1.2,unsat,279644,Bitvectors,CVC4/5
z3-4.10.0,unsat,282029,Bitvectors,Z3
z3-4.10.1,unsat,282029,Bitvectors,Z3
z3-4.10.2,unsat,282031,Bitvectors,Z3
z3-4.11.0,unsat,282028,Bitvectors,Z3
z3-4.11.2,unsat,282029,Bitvectors,Z3
z3-4.12.0,unsat,282326,Bitvectors,Z3
z3-4.12.1,unsat,282324,Bitvectors,Z3
z3-4.12.2,unsat,282322,Bitvectors,Z3
z3-4.12.3,unsat,282324,Bitvectors,Z3
z3-4.12.4,unsat,282326,Bitvectors,Z3
z3-4.12.5,unsat,282327,Bitvectors,Z3
z3-4.12.6,unsat,282330,Bitvectors,Z3
z3-4.13.0,unsat,282329,Bitvectors,Z3
z3-4.5.0,unsat,283437,Bitvectors,Z3
