solver,result,count,theory,family
cvc4-1.5,sat,973121,Arrays,CVC4/5
cvc4-1.6,sat,981958,Arrays,CVC4/5
cvc4-1.7,sat,981961,Arrays,CVC4/5
cvc4-1.8,sat,981959,Arrays,CVC4/5
cvc5-0.0.10,sat,985148,Arrays,CVC4/5
cvc5-0.0.11,sat,985144,Arrays,CVC4/5
cvc5-0.0.12,sat,985148,Arrays,CVC4/5
cvc5-0.0.2,sat,985147,Arrays,CVC4/5
cvc5-0.0.3,sat,985149,Arrays,CVC4/5
cvc5-0.0.4,sat,985150,Arrays,CVC4/5
cvc5-0.0.5,sat,985148,Arrays,CVC4/5
cvc5-0.0.6,sat,985150,Arrays,CVC4/5
cvc5-0.0.7,sat,985149,Arrays,CVC4/5
cvc5-0.0.8,sat,985147,Arrays,CVC4/5
cvc5-1.0.0,sat,985146,Arrays,CVC4/5
cvc5-1.0.1,sat,985149,Arrays,CVC4/5
cvc5-1.0.2,sat,985152,Arrays,CVC4/5
cvc5-1.0.3,sat,985382,Arrays,CVC4/5
cvc5-1.0.4,sat,985382,Arrays,CVC4/5
cvc5-1.0.5,sat,985381,Arrays,CVC4/5
cvc5-1.0.6,sat,971778,Arrays,CVC4/5
cvc5-1.0.7,sat,971778,Arrays,CVC4/5
cvc5-1.0.8,sat,971778,Arrays,CVC4/5
cvc5-1.0.9,sat,971777,Arrays,CVC4/5
cvc5-1.1.0,sat,971778,Arrays,CVC4/5
cvc5-1.1.1,sat,971779,Arrays,CVC4/5
cvc5-1.1.2,sat,971773,Arrays,CVC4/5
z3-4.10.0,sat,985372,Arrays,Z3
z3-4.10.1,sat,985366,Arrays,Z3
z3-4.10.2,sat,985374,Arrays,Z3
z3-4.11.0,sat,985308,Arrays,Z3
z3-4.11.2,sat,985373,Arrays,Z3
z3-4.12.0,sat,985361,Arrays,Z3
z3-4.12.1,sat,985366,Arrays,Z3
z3-4.12.2,sat,985323,Arrays,Z3
z3-4.12.3,sat,985358,Arrays,Z3
z3-4.12.4,sat,985357,Arrays,Z3
z3-4.12.5,sat,985347,Arrays,Z3
z3-4.12.6,sat,985355,Arrays,Z3
z3-4.13.0,sat,985359,Arrays,Z3
z3-4.5.0,sat,985266,Arrays,Z3
z3-4.6.0,sat,985387,Arrays,Z3
z3-4.7.1,sat,985385,Arrays,Z3
z3-4.8.1,sat,985386,Arrays,Z3
z3-4.8.10,sat,985385,Arrays,Z3
z3-4.8.11,sat,985373,Arrays,Z3
z3-4.8.12,sat,985375,Arrays,Z3
z3-4.8.13,sat,985376,Arrays,Z3
z3-4.8.14,sat,985375,Arrays,Z3
z3-4.8.15,sat,985373,Arrays,Z3
z3-4.8.16,sat,985376,Arrays,Z3
