solver,throughput,theory,family
cvc4-1.5,163.133841379835,Arrays,CVC4/5
cvc4-1.6,180.389481066752,Arrays,CVC4/5
cvc4-1.7,185.145199928517,Arrays,CVC4/5
cvc4-1.8,176.877895843642,Arrays,CVC4/5
cvc5-0.0.10,139.325586869684,Arrays,CVC4/5
cvc5-0.0.11,139.462274828523,Arrays,CVC4/5
cvc5-0.0.12,139.571869958946,Arrays,CVC4/5
cvc5-0.0.2,144.391034764002,Arrays,CVC4/5
cvc5-0.0.3,144.272757169481,Arrays,CVC4/5
cvc5-0.0.4,145.841292664757,Arrays,CVC4/5
cvc5-0.0.5,144.829807631809,Arrays,CVC4/5
cvc5-0.0.6,144.883626820009,Arrays,CVC4/5
cvc5-0.0.7,144.744791080474,Arrays,CVC4/5
cvc5-0.0.8,139.028122992141,Arrays,CVC4/5
cvc5-1.0.0,137.722473153675,Arrays,CVC4/5
cvc5-1.0.1,137.205693040525,Arrays,CVC4/5
cvc5-1.0.2,137.269115752188,Arrays,CVC4/5
cvc5-1.0.3,164.104911530466,Arrays,CVC4/5
cvc5-1.0.4,162.545676765601,Arrays,CVC4/5
cvc5-1.0.5,163.267102124969,Arrays,CVC4/5
cvc5-1.0.6,170.49931520405,Arrays,CVC4/5
cvc5-1.0.7,169.648344840971,Arrays,CVC4/5
cvc5-1.0.8,169.042582442157,Arrays,CVC4/5
cvc5-1.0.9,170.332599173519,Arrays,CVC4/5
cvc5-1.1.0,170.632619004694,Arrays,CVC4/5
cvc5-1.1.1,169.872110395996,Arrays,CVC4/5
cvc5-1.1.2,167.460079042757,Arrays,CVC4/5
z3-4.10.0,56.4812803834106,Arrays,Z3
z3-4.10.1,56.5626468409374,Arrays,Z3
z3-4.10.2,56.4297860596216,Arrays,Z3
z3-4.11.0,55.8279696994359,Arrays,Z3
z3-4.11.2,55.9875316010173,Arrays,Z3
z3-4.12.0,53.0182403747492,Arrays,Z3
z3-4.12.1,53.4137076253681,Arrays,Z3
z3-4.12.2,50.288942301911,Arrays,Z3
z3-4.12.3,51.8913253221957,Arrays,Z3
z3-4.12.4,51.8661305338064,Arrays,Z3
z3-4.12.5,51.5463496467352,Arrays,Z3
z3-4.12.6,51.9274054521165,Arrays,Z3
z3-4.13.0,51.9181345363881,Arrays,Z3
z3-4.5.0,101.790554008488,Arrays,Z3
z3-4.6.0,99.3841788504004,Arrays,Z3
z3-4.7.1,85.151570387084,Arrays,Z3
z3-4.8.1,82.7949655235027,Arrays,Z3
z3-4.8.10,88.6305758547652,Arrays,Z3
z3-4.8.11,58.084081230305,Arrays,Z3
z3-4.8.12,58.4132293199663,Arrays,Z3
z3-4.8.13,57.633306855518,Arrays,Z3
z3-4.8.14,57.6006433542561,Arrays,Z3
z3-4.8.15,57.0493332675276,Arrays,Z3
z3-4.8.16,56.6130272688322,Arrays,Z3
z3-4.8.17,56.4837207143023,Arrays,Z3
z3-4.8.3,82.4003819164062,Arrays,Z3
z3-4.8.4,82.324919771182,Arrays,Z3
z3-4.8.5,85.0059588419081,Arrays,Z3
z3-4.8.6,80.7207671955796,Arrays,Z3
z3-4.8.7,80.8513398265546,Arrays,Z3
z3-4.8.8,85.352316386917,Arrays,Z3
z3-4.8.9,89.6548584773616,Arrays,Z3
z3-4.9.0,56.0250184333569,Arrays,Z3
z3-4.9.1,56.0153836828775,Arrays,Z3
cvc4-1.5,31.2487566633015,Bitvectors,CVC4/5
cvc4-1.6,15.4589298318619,Bitvectors,CVC4/5
cvc4-1.7,25.1011592252943,Bitvectors,CVC4/5
cvc4-1.8,23.6005828859103,Bitvectors,CVC4/5
cvc5-0.0.10,15.0452389408987,Bitvectors,CVC4/5
cvc5-0.0.11,15.0792467186266,Bitvectors,CVC4/5
cvc5-0.0.12,15.0428309025111,Bitvectors,CVC4/5
cvc5-0.0.2,15.1836993888352,Bitvectors,CVC4/5
cvc5-0.0.3,15.1742373445741,Bitvectors,CVC4/5
cvc5-0.0.4,15.1547840658328,Bitvectors,CVC4/5
cvc5-0.0.5,15.2347311754325,Bitvectors,CVC4/5
cvc5-0.0.6,15.2438763776196,Bitvectors,CVC4/5
cvc5-0.0.7,15.2098679622224,Bitvectors,CVC4/5
cvc5-0.0.8,15.0528203379401,Bitvectors,CVC4/5
cvc5-1.0.0,15.0442148974225,Bitvectors,CVC4/5
cvc5-1.0.1,15.8776954887128,Bitvectors,CVC4/5
cvc5-1.0.2,15.8837043155719,Bitvectors,CVC4/5
cvc5-1.0.3,18.6965327763842,Bitvectors,CVC4/5
cvc5-1.0.4,18.696261235696,Bitvectors,CVC4/5
cvc5-1.0.5,18.6781594618301,Bitvectors,CVC4/5
cvc5-1.0.6,18.6285666277451,Bitvectors,CVC4/5
cvc5-1.0.7,18.6529381368836,Bitvectors,CVC4/5
cvc5-1.0.8,18.687647537058,Bitvectors,CVC4/5
cvc5-1.0.9,18.1728084440631,Bitvectors,CVC4/5
cvc5-1.1.0,18.1999945208129,Bitvectors,CVC4/5
cvc5-1.1.1,18.26015280416,Bitvectors,CVC4/5
